Subject,Date,Avg
P0701,2019-05-08,32.87954713163001
P0702,2019-05-08,33.27682692104968
P0703,2019-05-08,31.344415333446772
P0704,2019-05-08,31.263950133177797
P0705,2019-05-08,31.56180780590909
P0706,2019-05-08,31.194020293484037
P0707,2019-05-08,31.879074101441223
P0708,2019-05-08,30.810241960913977
P0709,2019-05-08,32.81337031892593
P0710,2019-05-08,31.27494206408441
P0701,2019-05-09,32.6259939679148
P0702,2019-05-09,32.73756860155671
P0703,2019-05-09,32.82727287498024
P0704,2019-05-09,31.92366957105994
P0705,2019-05-09,32.038134966785194
P0706,2019-05-09,32.05646406160724
P0707,2019-05-09,30.972832927908847
P0708,2019-05-09,30.477352938823525
P0709,2019-05-09,32.61505059164458
P0710,2019-05-09,32.32122265251827
P0701,2019-05-10,31.815375894753434
P0702,2019-05-10,32.42605954468982
P0703,2019-05-10,32.22084451952956
P0704,2019-05-10,31.74490688190875
P0705,2019-05-10,33.38591430574249
P0706,2019-05-10,
P0707,2019-05-10,31.365883298468393
P0708,2019-05-10,30.0268501082263
P0709,2019-05-10,32.493278026660846
P0710,2019-05-10,32.24948819345416
P0701,2019-05-11,31.515041804341003
P0702,2019-05-11,31.72926614899185
P0703,2019-05-11,33.443977118948375
P0704,2019-05-11,33.371545832987465
P0705,2019-05-11,32.56526315271532
P0706,2019-05-11,
P0707,2019-05-11,30.832936690950543
P0708,2019-05-11,31.673147240035625
P0709,2019-05-11,32.61304341360777
P0710,2019-05-11,31.90310468
